n,actual_n,k,seed,num_edges,algorithm,time,success,timed_out,modularity,optimal,error,graph_type,xi,timestamp
20,20,2,0,22,gurobi,0.28240203857421875,True,False,0.4452479338842981,True,,abcd,0.1,2026-03-03T02:42:19.762021
20,20,2,0,22,bnb_c,0.024019956588745117,True,False,0.445247933884298,True,,abcd,0.1,2026-03-03T02:42:19.915926
20,20,2,1,25,gurobi,0.017405033111572266,True,False,0.41920000000000024,True,,abcd,0.1,2026-03-03T02:42:20.072262
20,20,2,1,25,bnb_c,0.02128005027770996,True,False,0.4192,True,,abcd,0.1,2026-03-03T02:42:20.210625
20,20,2,2,25,gurobi,0.017194032669067383,True,False,0.3768000000000001,True,,abcd,0.1,2026-03-03T02:42:20.358796
20,20,2,2,25,bnb_c,0.02152395248413086,True,False,0.3768,True,,abcd,0.1,2026-03-03T02:42:20.494957
20,15,2,3,16,gurobi,0.011413812637329102,True,False,0.375,True,,abcd,0.1,2026-03-03T02:42:20.613740
20,15,2,3,16,bnb_c,0.015619993209838867,True,False,0.375,True,,abcd,0.1,2026-03-03T02:42:20.727274
20,20,2,4,24,gurobi,0.02781987190246582,True,False,0.4166666666666667,True,,abcd,0.1,2026-03-03T02:42:20.888433
20,20,2,4,24,bnb_c,0.020225048065185547,True,False,0.416666666666667,True,,abcd,0.1,2026-03-03T02:42:21.022235
20,20,2,5,28,gurobi,0.025401830673217773,True,False,0.3769132653061225,True,,abcd,0.1,2026-03-03T02:42:21.173803
20,20,2,5,28,bnb_c,0.02292013168334961,True,False,0.376913265306122,True,,abcd,0.1,2026-03-03T02:42:21.310860
20,20,2,6,25,gurobi,0.018658876419067383,True,False,0.4191999999999998,True,,abcd,0.1,2026-03-03T02:42:21.463886
20,20,2,6,25,bnb_c,0.022107839584350586,True,False,0.4192,True,,abcd,0.1,2026-03-03T02:42:21.599671
20,20,2,7,25,gurobi,0.018101930618286133,True,False,0.38079999999999997,True,,abcd,0.1,2026-03-03T02:42:21.753694
20,20,2,7,25,bnb_c,0.02068805694580078,True,False,0.3808,True,,abcd,0.1,2026-03-03T02:42:21.888218
20,16,2,8,20,gurobi,0.012396812438964844,True,False,0.3999999999999997,True,,abcd,0.1,2026-03-03T02:42:22.006900
20,16,2,8,20,bnb_c,0.017679929733276367,True,False,0.4,True,,abcd,0.1,2026-03-03T02:42:22.120783
20,16,2,9,18,gurobi,0.01234889030456543,True,False,0.4305555555555554,True,,abcd,0.1,2026-03-03T02:42:22.235298
20,16,2,9,18,bnb_c,0.015153169631958008,True,False,0.430555555555556,True,,abcd,0.1,2026-03-03T02:42:22.352209
20,14,2,10,17,gurobi,0.010517120361328125,True,False,0.36678200692041535,True,,abcd,0.1,2026-03-03T02:42:22.468494
20,14,2,10,17,bnb_c,0.01450800895690918,True,False,0.366782006920415,True,,abcd,0.1,2026-03-03T02:42:22.582858
20,20,2,11,27,gurobi,0.017976999282836914,True,False,0.4252400548696843,True,,abcd,0.1,2026-03-03T02:42:22.731714
20,20,2,11,27,bnb_c,0.021364927291870117,True,False,0.425240054869685,True,,abcd,0.1,2026-03-03T02:42:22.868653
20,20,2,12,23,gurobi,0.025455951690673828,True,False,0.36956521739130455,True,,abcd,0.1,2026-03-03T02:42:23.019481
20,20,2,12,23,bnb_c,0.02246713638305664,True,False,0.369565217391304,True,,abcd,0.1,2026-03-03T02:42:23.155584
20,20,2,13,25,gurobi,0.01850581169128418,True,False,0.41919999999999996,True,,abcd,0.1,2026-03-03T02:42:23.308116
20,20,2,13,25,bnb_c,0.0218808650970459,True,False,0.4192,True,,abcd,0.1,2026-03-03T02:42:23.444031
20,10,2,14,13,gurobi,0.007938861846923828,True,False,0.3431952662721893,True,,abcd,0.1,2026-03-03T02:42:23.562183
20,10,2,14,13,bnb_c,0.011768102645874023,True,False,0.343195266272189,True,,abcd,0.1,2026-03-03T02:42:23.668525
20,20,2,15,24,gurobi,0.017410755157470703,True,False,0.4505208333333338,True,,abcd,0.1,2026-03-03T02:42:23.816049
20,20,2,15,24,bnb_c,0.023548126220703125,True,False,0.450520833333333,True,,abcd,0.1,2026-03-03T02:42:23.958649
20,20,2,16,26,gurobi,0.01802372932434082,True,False,0.40162721893491116,True,,abcd,0.1,2026-03-03T02:42:24.110803
20,20,2,16,26,bnb_c,0.02062678337097168,True,False,0.401627218934911,True,,abcd,0.1,2026-03-03T02:42:24.244383
