k,seed,n,num_edges,algorithm,time,success,timed_out,modularity,optimal,n_communities,error,graph_type,timestamp
,0,34,78,igraph,0.08672904968261719,True,False,0.41978961209730437,True,4,,karate,2026-03-07T20:14:46.115361
,0,34,78,bayan,0.9721379280090332,True,False,0.41978961,True,4,,karate,2026-03-07T20:14:47.537143
2,0,34,78,bnb_c,0.04105210304260254,True,False,0.371794871794872,True,2,,karate,2026-03-07T20:14:47.852267
2,0,34,78,gurobi,0.06778717041015625,True,False,0.37179487179487136,True,2,,karate,2026-03-07T20:14:48.195993
3,0,34,78,bnb_c,0.0495600700378418,True,False,0.402038132807364,True,3,,karate,2026-03-07T20:14:48.525360
3,0,34,78,gurobi,0.3670668601989746,True,False,0.4020381328073631,True,3,,karate,2026-03-07T20:14:49.167189
4,0,34,78,bnb_c,0.07811498641967773,True,False,0.419789612097305,True,4,,karate,2026-03-07T20:14:49.525266
4,0,34,78,gurobi,0.36411523818969727,True,False,0.41978961209730403,True,4,,karate,2026-03-07T20:14:50.206865
5,0,34,78,bnb_c,0.26531410217285156,True,False,0.415844838921762,True,5,,karate,2026-03-07T20:14:50.753961
5,0,34,78,gurobi,0.43274879455566406,True,False,0.4158448389217617,True,5,,karate,2026-03-07T20:14:51.471975
6,0,34,78,bnb_c,0.06476116180419922,True,False,0.408201840894149,True,6,,karate,2026-03-07T20:14:51.817537
6,0,34,78,gurobi,0.9046950340270996,True,False,0.40820184089414824,True,6,,karate,2026-03-07T20:14:52.995972
7,0,34,78,bnb_c,4.825072765350342,True,False,0.400230111768573,True,7,,karate,2026-03-07T20:14:58.099192
7,0,34,78,gurobi,1.942478895187378,True,False,0.40023011176857304,True,7,,karate,2026-03-07T20:15:00.326736
8,0,34,78,bnb_c,26.643689155578613,True,False,0.388560157790927,True,8,,karate,2026-03-07T20:15:27.266628
8,0,34,78,gurobi,4.76873779296875,True,False,0.3885601577909266,True,8,,karate,2026-03-07T20:15:32.355300
9,0,34,78,bnb_c,110.15575122833252,True,False,0.3767258382643,True,9,,karate,2026-03-07T20:17:22.816292
9,0,34,78,gurobi,18.006477117538452,True,False,0.37672583826429956,True,9,,karate,2026-03-07T20:17:41.136020
10,0,34,78,bnb_c,385.9021508693695,True,False,0.363083497698882,True,10,,karate,2026-03-07T20:24:07.354041
10,0,34,78,gurobi,31.596559047698975,True,False,0.36308349769888204,True,10,,karate,2026-03-07T20:24:39.272649
