n,actual_n,k,seed,num_edges,algorithm,time,success,timed_out,modularity,optimal,error,graph_type,xi,timestamp
80,80,2,0,117,gurobi,0.4723489284515381,True,False,0.47848637592227483,True,,abcd,0.01,2026-03-12T12:57:05.662529
80,80,2,0,117,bnb_c,0.30493807792663574,True,False,0.478486375922273,True,,abcd,0.01,2026-03-12T12:57:06.107192
80,57,2,1,78,gurobi,0.015710830688476562,True,False,0.4870973044049967,True,,abcd,0.01,2026-03-12T12:57:06.242343
80,57,2,1,78,bnb_c,0.0071523189544677734,True,False,0.487097304404997,True,,abcd,0.01,2026-03-12T12:57:06.351302
80,80,2,2,121,gurobi,0.1431291103363037,True,False,0.44628099173553537,True,,abcd,0.01,2026-03-12T12:57:06.622598
80,80,2,2,121,bnb_c,0.015453100204467773,True,False,0.446280991735537,True,,abcd,0.01,2026-03-12T12:57:06.758084
80,80,2,3,137,gurobi,0.03508591651916504,True,False,0.4781021897810165,True,,abcd,0.01,2026-03-12T12:57:06.919282
80,80,2,3,137,bnb_c,0.007358074188232422,True,False,0.478102189781022,True,,abcd,0.01,2026-03-12T12:57:07.041448
80,80,2,4,103,gurobi,0.0412290096282959,True,False,0.467857479498532,True,,abcd,0.01,2026-03-12T12:57:07.204429
80,80,2,4,103,bnb_c,0.00864100456237793,True,False,0.467857479498539,True,,abcd,0.01,2026-03-12T12:57:07.327306
80,80,2,5,131,gurobi,0.07679986953735352,True,False,0.45067303770176487,True,,abcd,0.01,2026-03-12T12:57:07.537478
80,80,2,5,131,bnb_c,0.008265972137451172,True,False,0.450673037701766,True,,abcd,0.01,2026-03-12T12:57:07.661860
80,80,2,6,101,gurobi,0.04957318305969238,True,False,0.46916968924616215,True,,abcd,0.01,2026-03-12T12:57:07.839775
80,80,2,6,101,bnb_c,0.009612798690795898,True,False,0.469169689246152,True,,abcd,0.01,2026-03-12T12:57:07.970981
80,80,2,7,129,gurobi,0.06243300437927246,True,False,0.45177573463134385,True,,abcd,0.01,2026-03-12T12:57:08.153978
80,80,2,7,129,bnb_c,0.010601997375488281,True,False,0.451775734631332,True,,abcd,0.01,2026-03-12T12:57:08.287944
80,80,2,8,110,gurobi,0.032876014709472656,True,False,0.483925619834711,True,,abcd,0.01,2026-03-12T12:57:08.441352
80,80,2,8,110,bnb_c,0.007853984832763672,True,False,0.483925619834711,True,,abcd,0.01,2026-03-12T12:57:08.572591
80,80,2,9,114,gurobi,0.035614013671875,True,False,0.4824561403508786,True,,abcd,0.01,2026-03-12T12:57:08.732053
80,80,2,9,114,bnb_c,0.007843017578125,True,False,0.482456140350877,True,,abcd,0.01,2026-03-12T12:57:08.859883
80,60,2,10,90,gurobi,0.024466276168823242,True,False,0.46888888888888813,True,,abcd,0.01,2026-03-12T12:57:08.985418
80,60,2,10,90,bnb_c,0.00733494758605957,True,False,0.468888888888889,True,,abcd,0.01,2026-03-12T12:57:09.089489
80,80,2,11,110,gurobi,0.10768604278564453,True,False,0.46347107438016166,True,,abcd,0.01,2026-03-12T12:57:09.323169
80,80,2,11,110,bnb_c,0.011182069778442383,True,False,0.463471074380165,True,,abcd,0.01,2026-03-12T12:57:09.456949
80,80,2,12,120,gurobi,0.20404291152954102,True,False,0.4338541666666672,True,,abcd,0.01,2026-03-12T12:57:09.786172
80,80,2,12,120,bnb_c,0.017215967178344727,True,False,0.433854166666667,True,,abcd,0.01,2026-03-12T12:57:09.926907
80,57,2,13,70,gurobi,0.02256298065185547,True,False,0.4831632653061188,True,,abcd,0.01,2026-03-12T12:57:10.055245
80,57,2,13,70,bnb_c,0.006781816482543945,True,False,0.483163265306123,True,,abcd,0.01,2026-03-12T12:57:10.158873
80,80,2,14,118,gurobi,0.07381987571716309,True,False,0.4570166618787693,True,,abcd,0.01,2026-03-12T12:57:10.352867
80,80,2,14,118,bnb_c,0.010540962219238281,True,False,0.457016661878771,True,,abcd,0.01,2026-03-12T12:57:10.476836
80,53,2,15,79,gurobi,0.047475337982177734,True,False,0.4060246755327692,True,,abcd,0.01,2026-03-12T12:57:10.631669
80,53,2,15,79,bnb_c,0.008309125900268555,True,False,0.406024675532767,True,,abcd,0.01,2026-03-12T12:57:10.739417
80,80,2,16,114,gurobi,0.0500490665435791,True,False,0.46256540473992186,True,,abcd,0.01,2026-03-12T12:57:10.917446
80,80,2,16,114,bnb_c,0.008260011672973633,True,False,0.46256540473992,True,,abcd,0.01,2026-03-12T12:57:11.048746
80,49,2,17,63,gurobi,0.021689176559448242,True,False,0.45187704711514237,True,,abcd,0.01,2026-03-12T12:57:11.174456
80,49,2,17,63,bnb_c,0.006974935531616211,True,False,0.451877047115142,True,,abcd,0.01,2026-03-12T12:57:11.276689
80,80,2,18,123,gurobi,0.24129009246826172,True,False,0.45118646308414495,True,,abcd,0.01,2026-03-12T12:57:11.647745
80,80,2,18,123,bnb_c,0.01277017593383789,True,False,0.451186463084143,True,,abcd,0.01,2026-03-12T12:57:11.773035
80,80,2,19,112,gurobi,0.03617978096008301,True,False,0.4907126913265298,True,,abcd,0.01,2026-03-12T12:57:11.933214
80,80,2,19,112,bnb_c,0.00731205940246582,True,False,0.490712691326531,True,,abcd,0.01,2026-03-12T12:57:12.055181
80,80,2,20,125,gurobi,0.044203758239746094,True,False,0.47244799999999004,True,,abcd,0.01,2026-03-12T12:57:12.230817
80,80,2,20,125,bnb_c,0.0074808597564697266,True,False,0.472448,True,,abcd,0.01,2026-03-12T12:57:12.352026
80,80,2,21,112,gurobi,0.04773592948913574,True,False,0.4642857142857084,True,,abcd,0.01,2026-03-12T12:57:12.528883
80,80,2,21,112,bnb_c,0.00829005241394043,True,False,0.464285714285714,True,,abcd,0.01,2026-03-12T12:57:12.651291
80,80,2,22,108,gurobi,0.23951005935668945,True,False,0.4444444444444476,True,,abcd,0.01,2026-03-12T12:57:13.023075
80,80,2,22,108,bnb_c,0.01805901527404785,True,False,0.444444444444444,True,,abcd,0.01,2026-03-12T12:57:13.160796
80,80,2,23,126,gurobi,0.10812497138977051,True,False,0.4406336608717587,True,,abcd,0.01,2026-03-12T12:57:13.397841
80,80,2,23,126,bnb_c,0.010700702667236328,True,False,0.440633660871756,True,,abcd,0.01,2026-03-12T12:57:13.526759
80,80,2,24,123,gurobi,0.07550716400146484,True,False,0.4532685570758123,True,,abcd,0.01,2026-03-12T12:57:13.724262
80,80,2,24,123,bnb_c,0.008960962295532227,True,False,0.453268557075815,True,,abcd,0.01,2026-03-12T12:57:13.855899
80,80,2,25,108,gurobi,0.11137509346008301,True,False,0.46875000000000194,True,,abcd,0.01,2026-03-12T12:57:14.085856
80,80,2,25,108,bnb_c,0.012379169464111328,True,False,0.46875,True,,abcd,0.01,2026-03-12T12:57:14.220546
