n,k,seed,num_edges,mu,algorithm,time,success,timed_out,modularity,optimal,error,graph_type,timestamp
80,2,0,140,0.05,gurobi,0.46258997917175293,True,False,0.445306122448986,True,,lfr,2026-03-11T21:22:55.907305
80,2,0,140,0.05,bnb_c,0.014505863189697266,True,False,0.44530612244898,True,,lfr,2026-03-11T21:22:56.022741
80,2,1,149,0.05,gurobi,0.04108428955078125,True,False,0.4512184135849756,True,,lfr,2026-03-11T21:22:56.169625
80,2,1,149,0.05,bnb_c,0.008594989776611328,True,False,0.451218413584974,True,,lfr,2026-03-11T21:22:56.282273
80,2,2,165,0.05,gurobi,0.0462040901184082,True,False,0.4398347107438024,True,,lfr,2026-03-11T21:22:56.434839
80,2,2,165,0.05,bnb_c,0.007727146148681641,True,False,0.439834710743802,True,,lfr,2026-03-11T21:22:56.541011
80,2,3,165,0.05,gurobi,0.05711197853088379,True,False,0.43570247933884054,True,,lfr,2026-03-11T21:22:56.709646
80,2,3,165,0.05,bnb_c,0.00849771499633789,True,False,0.435702479338843,True,,lfr,2026-03-11T21:22:56.819203
80,2,4,154,0.05,gurobi,0.03897500038146973,True,False,0.4463442401754008,True,,lfr,2026-03-11T21:22:56.961511
80,2,4,154,0.05,bnb_c,0.007749795913696289,True,False,0.446344240175409,True,,lfr,2026-03-11T21:22:57.066411
80,2,5,141,0.05,gurobi,0.1606581211090088,True,False,0.4277199336049497,True,,lfr,2026-03-11T21:22:57.332886
80,2,5,141,0.05,bnb_c,0.010317802429199219,True,False,0.427719933604949,True,,lfr,2026-03-11T21:22:57.444654
80,2,6,169,0.05,gurobi,0.033628225326538086,True,False,0.45124470431707464,True,,lfr,2026-03-11T21:22:57.581687
80,2,6,169,0.05,bnb_c,0.0073032379150390625,True,False,0.451244704317076,True,,lfr,2026-03-11T21:22:57.688783
80,2,7,151,0.05,gurobi,0.03721213340759277,True,False,0.438204464716463,True,,lfr,2026-03-11T21:22:57.829353
80,2,7,151,0.05,bnb_c,0.006930112838745117,True,False,0.43820446471646,True,,lfr,2026-03-11T21:22:57.931531
80,2,8,146,0.05,gurobi,0.033041954040527344,True,False,0.43092043535372787,True,,lfr,2026-03-11T21:22:58.067211
80,2,8,146,0.05,bnb_c,0.007812976837158203,True,False,0.430920435353725,True,,lfr,2026-03-11T21:22:58.173057
80,2,9,153,0.05,gurobi,0.03625917434692383,True,False,0.4667862787816634,True,,lfr,2026-03-11T21:22:58.314324
80,2,9,153,0.05,bnb_c,0.006992816925048828,True,False,0.466786278781665,True,,lfr,2026-03-11T21:22:58.417161
80,2,10,144,0.05,gurobi,0.04512310028076172,True,False,0.459466628086416,True,,lfr,2026-03-11T21:22:58.570673
80,2,10,144,0.05,bnb_c,0.0075299739837646484,True,False,0.45946662808642,True,,lfr,2026-03-11T21:22:58.671263
80,2,11,169,0.05,gurobi,0.03515005111694336,True,False,0.43893771226497774,True,,lfr,2026-03-11T21:22:58.808823
80,2,11,169,0.05,bnb_c,0.007787942886352539,True,False,0.438937712264977,True,,lfr,2026-03-11T21:22:58.909883
80,2,12,159,0.05,gurobi,0.06855607032775879,True,False,0.4588623867726695,True,,lfr,2026-03-11T21:22:59.084354
80,2,12,159,0.05,bnb_c,0.008179903030395508,True,False,0.458862386772675,True,,lfr,2026-03-11T21:22:59.184709
80,2,13,159,0.05,gurobi,0.038083791732788086,True,False,0.4543530714766006,True,,lfr,2026-03-11T21:22:59.326995
80,2,13,159,0.05,bnb_c,0.007729053497314453,True,False,0.454353071476603,True,,lfr,2026-03-11T21:22:59.428280
80,2,14,153,0.05,gurobi,0.04244375228881836,True,False,0.4212909564697308,True,,lfr,2026-03-11T21:22:59.579454
80,2,14,153,0.05,bnb_c,0.0077898502349853516,True,False,0.421290956469734,True,,lfr,2026-03-11T21:22:59.680650
80,2,15,163,0.05,gurobi,0.07522797584533691,True,False,0.4110994015582079,True,,lfr,2026-03-11T21:22:59.858275
80,2,15,163,0.05,bnb_c,0.009502887725830078,True,False,0.411099401558207,True,,lfr,2026-03-11T21:22:59.961303
80,2,16,155,0.05,gurobi,0.033799171447753906,True,False,0.45028095733610407,True,,lfr,2026-03-11T21:23:00.101809
80,2,16,155,0.05,bnb_c,0.007091999053955078,True,False,0.450280957336108,True,,lfr,2026-03-11T21:23:00.202981
80,2,17,154,0.05,gurobi,0.12107300758361816,True,False,0.41261173891043285,True,,lfr,2026-03-11T21:23:00.426871
80,2,17,154,0.05,bnb_c,0.009750127792358398,True,False,0.41261173891044,True,,lfr,2026-03-11T21:23:00.533213
80,2,18,142,0.05,gurobi,0.033782005310058594,True,False,0.46548303907955063,True,,lfr,2026-03-11T21:23:00.677048
80,2,18,142,0.05,bnb_c,0.007631063461303711,True,False,0.465483039079548,True,,lfr,2026-03-11T21:23:00.783619
80,2,19,146,0.05,gurobi,0.1907510757446289,True,False,0.42493901294802483,True,,lfr,2026-03-11T21:23:01.084471
80,2,19,146,0.05,bnb_c,0.010963201522827148,True,False,0.42493901294802,True,,lfr,2026-03-11T21:23:01.232380
80,2,20,146,0.05,gurobi,0.08574485778808594,True,False,0.4419215612685312,True,,lfr,2026-03-11T21:23:01.422689
80,2,20,146,0.05,bnb_c,0.009074926376342773,True,False,0.441921561268531,True,,lfr,2026-03-11T21:23:01.524603
80,2,21,165,0.05,gurobi,0.04370284080505371,True,False,0.42499540863176843,True,,lfr,2026-03-11T21:23:01.674662
80,2,21,165,0.05,bnb_c,0.008453130722045898,True,False,0.424995408631772,True,,lfr,2026-03-11T21:23:01.782886
80,2,22,161,0.05,gurobi,0.08068609237670898,True,False,0.4224952741020797,True,,lfr,2026-03-11T21:23:01.975024
80,2,22,161,0.05,bnb_c,0.009188175201416016,True,False,0.422495274102079,True,,lfr,2026-03-11T21:23:02.089445
80,2,23,156,0.05,gurobi,0.03448605537414551,True,False,0.41313280736358227,True,,lfr,2026-03-11T21:23:02.225846
80,2,23,156,0.05,bnb_c,0.007339000701904297,True,False,0.413132807363577,True,,lfr,2026-03-11T21:23:02.330942
80,2,24,157,0.05,gurobi,0.04239916801452637,True,False,0.461398028317585,True,,lfr,2026-03-11T21:23:02.485641
80,2,24,157,0.05,bnb_c,0.0073430538177490234,True,False,0.461398028317579,True,,lfr,2026-03-11T21:23:02.592604
80,2,25,173,0.05,gurobi,0.031239032745361328,True,False,0.471031441077217,True,,lfr,2026-03-11T21:23:02.736307
80,2,25,173,0.05,bnb_c,0.008036136627197266,True,False,0.471031441077216,True,,lfr,2026-03-11T21:23:02.845097
80,2,26,150,0.05,gurobi,0.03358793258666992,True,False,0.4483333333333285,True,,lfr,2026-03-11T21:23:02.987075
80,2,26,150,0.05,bnb_c,0.0076520442962646484,True,False,0.448333333333333,True,,lfr,2026-03-11T21:23:03.092206
80,2,27,165,0.05,gurobi,0.032562971115112305,True,False,0.4290174471992657,True,,lfr,2026-03-11T21:23:03.233380
